t,x,y,z
0.0,1.0,1.0,1.0
0.09999999999999999,2.133106543293639,4.471410647871953,1.1138989184687214
0.20000000000000004,6.542513103944859,13.731148820534644,4.180191224257708
0.3000000000000001,16.68476347622216,27.18347313583823,26.206297329352743
0.4000000000000002,15.366498536106455,1.1137575723059996,46.75801524533206
0.5000000000000002,1.198564957856395,-8.867139000908752,32.45493260144154
0.6000000000000003,-4.833086625659796,-8.061257551056052,26.673195246909614
0.7000000000000004,-7.04929732575459,-8.747471479569832,24.89001142927016
0.8000000000000005,-8.635491998724444,-10.095675561508848,25.646646116868943
0.9000000000000006,-9.692233588787287,-10.157856031653177,28.03033465522345
1.0000000000000007,-9.378615807236296,-8.357059955292339,29.362403750125733
1.1000000000000008,-8.078624858191052,-6.770153920216596,28.183493930605497
1.2000000000000008,-7.173359256604487,-6.783353078100969,25.975994598426542
1.300000000000001,-7.362005874834069,-8.099720363699078,24.55421178249745
1.400000000000001,-8.484758883768015,-9.849683832324907,25.081013422005856
1.500000000000001,-9.672344085493664,-10.432025394696195,27.51738051211316
1.6000000000000012,-9.643953777242798,-8.808686490498665,29.441080246601988
1.7000000000000013,-8.346316846435807,-6.872991595750669,28.67071915719053
1.8000000000000014,-7.199074320314889,-6.53610133117595,26.37598646657587
1.9000000000000015,-7.146281369665921,-7.694506106558248,24.57326417169059
2.0000000000000013,-8.173442490346254,-9.561995763765367,24.620577816379946
2.099999999999999,-9.540960280795982,-10.628612345639633,26.905513666517468
2.199999999999997,-9.871167472808253,-9.329400329312083,29.379357993414516
2.299999999999995,-8.667187324418576,-7.082780251789285,29.15929076149819
2.399999999999993,-7.289183652146575,-6.332054391056448,26.865272315131627
2.4999999999999907,-6.959510551565188,-7.272367096863899,24.70310488334115
2.5999999999999885,-7.834529901061196,-9.179583231290641,24.227151726444013
2.6999999999999864,-9.32141760250543,-10.703222621222913,26.200242429336214
2.7999999999999843,-10.041774525703357,-9.889899389411799,29.13390766727975
2.899999999999982,-9.036875934616335,-7.421083068187146,29.614701214457543
2.99999999999998,-7.4566789270320974,-6.190930885532178,27.441936569322372
3.099999999999978,-6.816009545444547,-6.846852509860078,24.955928996031737
3.1999999999999758,-7.481392410225612,-8.7125938952828,23.931814005455806
3.2999999999999736,-9.01286618277049,-10.62659835972305,25.438875816020374
3.3999999999999715,-10.125313448511683,-10.444970525638215,28.670880862558892
